FIPS,Population,Area,Land Area,Water Area,Median Age,Median Age (Male),Median Age (Female),Pop 16-19,Pop 16-19 (Dropped Out),Median HH,Median Structure Year,Median Value,Median Gross Rent,Median Rent as Pct of Income,Rented Housing Units,Units No Cars
8001,504108,1183.419,1166.305,17.11333,33.8,33.2,34.3,26130,1430,71202,1987,307600,1346,32.2999992370605,166450,7796
8003,16107,723.2904,722.577,0.7133662,31.8,30.5,33.2,1310,24,37515,1978,157500,700,29.2000007629395,6162,400
8005,644560,805.4585,797.9598,7.498755,36.6,35.5,37.9,30977,1263,77469,1984,358200,1390,31.2999992370605,240304,11720
8007,13253,1355.393,1350.088,5.305139,50.9,49.7,51.7,441,22,52221,1994,314400,961,30,5858,92
8009,3561,2557.364,2554.993,2.371514,46,43.3,49.7,152,5,35878,1964,83500,443,25.1000003814697,1662,109
8011,5787,1541.087,1512.847,28.2401,40.2,39.4,44.1,140,0,30900,1959,81000,643,33,1767,202
8013,322510,740.4678,726.3777,14.09018,36.6,35.1,38.1,21512,373,83019,1983,497300,1495,33.7000007629395,127415,6850
8014,67886,33.54848,33.00354,0.5449431,37.8,36.7,38.9,3324,107,96416,1999,413500,1679,28.2999992370605,27470,795
8015,19557,1014.953,1013.408,1.544399,49.2,45.4,51.9,753,113,55771,1985,357800,931,29.1000003814697,8231,483
8017,2026,1781.429,1778.276,3.15296,39.4,38.7,41,94,0,53977,1971,108000,525,16.2000007629395,774,23
8019,9495,396.3373,395.0729,1.264449,48.1,47.8,48.4,608,71,67060,1974,378300,938,28.7999992370605,4395,107
8021,8128,1290.994,1287.428,3.565658,38.8,39.6,37.8,432,60,36084,1974,120500,543,29.7999992370605,3183,237
8023,3745,1231.002,1227.594,3.40886,51.9,51.4,53.1,196,0,30965,1978,113000,532,31.2999992370605,1746,114
8025,5754,800.3322,787.4276,12.90469,35.4,36.3,34.2,626,15,42135,1955,79400,914,25.5,1301,55
8027,4776,739.9247,738.6258,1.298906,59.7,59.7,59.8,157,4,53119,1991,281900,620,32.9000015258789,2214,49
8029,30565,1148.607,1142.125,6.481412,47.3,44.8,50.5,1495,93,45269,1984,241500,834,36.4000015258789,11883,631
8031,705576,154.9313,153.2921,1.639159,34.5,34.3,34.7,26899,1874,68592,1969,390600,1311,28.7999992370605,301501,29678
8033,1857,1068.219,1067.17,1.048708,48.8,41.3,53.9,45,5,45972,1974,116600,817,27.8999996185303,759,10
8035,336041,842.876,840.2512,2.624769,38.7,37.9,39.4,19169,376,119730,1999,468700,1725,27.5,120709,2573
8037,54681,1691.793,1684.47,7.323222,37,37.2,36.8,2786,30,84790,1991,562300,1594,32.4000015258789,18171,319
8039,25717,1851.007,1850.836,0.1707139,46.1,45.8,46.3,1253,51,99199,1994,463600,1182,24.3999996185303,9280,119
8041,698974,2129.586,2126.849,2.736548,34.2,32.8,35.7,38533,1309,68779,1986,275000,1174,30.8999996185303,257507,10803
8043,47321,1533.945,1533.082,0.8631476,45.1,42,50.1,1580,27,49409,1980,174000,838,29.5,17136,983
8045,59055,2955.807,2947.425,8.381706,36.5,36.1,36.8,3015,88,75937,1991,360600,1201,27.5,21498,605
8047,6018,150.3863,150.0226,0.3637299,49,48.1,49.7,191,0,76429,1983,353400,1159,28,2802,58
8049,15303,1869.57,1846.446,23.12337,42.9,42.5,43.8,586,28,71198,1989,308200,1047,27.7999992370605,5884,188
8051,16802,3259.631,3239.142,20.48931,34.5,34.2,35.2,1241,56,56577,1984,367300,992,30,6616,234
8053,857,1123.148,1117.231,5.916894,56.1,56.9,55.7,13,0,56339,1982,350000,756,23.2000007629395,377,10
8055,6679,1593.269,1591.033,2.236343,55,54.8,55.1,112,13,38137,1972,161600,626,31.2999992370605,3225,321
8057,1261,1620.965,1613.726,7.239422,51.6,51.9,51.4,68,0,53300,1978,196700,625,14.3999996185303,558,18
8059,574798,774.0684,764.3369,9.731517,40.3,39,41.8,26202,998,82986,1978,397700,1376,30.7000007629395,232284,9022
8061,1489,1785.968,1767.809,18.15951,42.5,35.2,49.6,28,1,41731,1963,86500,750,22.5,638,36
8063,7447,2161.691,2160.822,0.8694747,38.3,36.7,40.4,314,25,49349,1971,122400,736,23.7999992370605,3004,191
8065,7751,383.912,376.9191,6.992914,36.7,38.2,35.8,395,6,50565,1970,232100,982,33.7000007629395,3392,131
8067,55617,1699.582,1689.682,9.900655,40.4,39.4,41.5,2931,211,68685,1988,395600,1147,31.7000007629395,21794,489
8069,344786,2634.002,2595.774,38.22715,36,34.8,37.1,20524,447,71881,1989,363800,1297,33.4000015258789,137021,5699
8071,14266,4775.614,4772.938,2.675677,45.9,42.8,49.3,677,62,41817,1971,151100,712,30,6670,716
8073,5585,2586.475,2577.679,8.795546,38,35.5,49.3,145,1,47258,1969,147100,780,30.7000007629395,1518,96
8075,22380,1844.917,1838.599,6.318003,38.2,37.1,40.3,1600,91,53318,1962,157900,786,29.8999996185303,8393,591
8077,151218,3341.073,3328.915,12.15851,39.7,38.1,41.2,8416,553,55379,1985,227000,963,31.1000003814697,61742,2794
8079,824,877.7768,875.7605,2.016288,56.1,55.8,56.2,5,0,62188,1988,308600,720,24.3999996185303,367,11
8081,13127,4750.89,4743.243,7.646141,36.6,35.2,39.9,530,110,57229,1976,182300,779,26.7999992370605,5366,327
8083,26031,2039.854,2029.349,10.50514,45.2,44.2,45.8,1024,86,49470,1983,222800,815,24.7999992370605,10655,227
8085,41686,2242.847,2240.946,1.900881,45.2,43.9,46.3,1876,78,50489,1989,224400,901,28.6000003814697,17140,826
8087,28517,1293.869,1280.485,13.3835,36.2,34.8,37.7,1686,195,53682,1972,201200,835,28.3999996185303,10928,564
8089,18282,1269.703,1261.946,7.757732,39.9,39.7,40.1,1396,171,38169,1961,94900,675,28.8999996185303,7722,844
8091,4796,542.2106,541.593,0.617587,54.1,54.1,54.2,136,0,66417,1994,449000,1223,31,2163,44
8093,17867,2210.706,2193.903,16.8031,50.7,50.2,51.2,572,8,73622,1991,327200,1125,37.2000007629395,6931,93
8095,4290,688.0444,687.9279,0.1165287,37.1,34.4,39.5,203,1,51155,1957,158500,751,18.5,1689,48
8097,17926,973.2004,970.7014,2.499076,41.8,42.5,41.7,801,91,78935,1985,615900,1473,30.2000007629395,7467,433
8099,12022,1644.322,1638.397,5.924806,38.3,35.6,40.3,815,8,41929,1967,106100,697,29.1000003814697,4888,293
8101,165982,2397.766,2386.098,11.66773,39.3,37.8,40.6,8810,558,46783,1973,164600,829,32.5,64314,4806
8103,6384,3222.85,3220.97,1.879588,36.9,37.6,35.9,354,1,54357,1979,197100,770,24.5,2301,64
8105,11305,912.3364,911.9564,0.3800384,42.1,40.8,43.1,761,40,39123,1976,172000,634,26.6000003814697,4823,473
8107,25072,2368.132,2362.02,6.112671,40.2,39.3,41.5,1236,0,77443,1990,535300,1282,27.7000007629395,9603,301
8109,6592,3170.286,3168.566,1.719896,49,49.4,48.1,288,1,38571,1986,152700,631,30.7999992370605,2860,162
8111,589,388.3016,387.5156,0.7860766,51.2,50.5,55.1,9,0,54625,1972,322400,1019,23.1000003814697,289,17
8113,8049,1288.736,1286.727,2.009312,41.8,42.5,41,255,1,67038,1993,479300,1140,30,3552,116
8115,2322,549.404,548.0408,1.363229,44.1,45.3,43.2,121,9,43150,1947,97100,556,29.5,967,51
8117,30649,619.2593,608.339,10.92033,39.1,39.4,38.8,1018,37,79277,1987,579600,1393,29,10641,214
8119,24524,558.952,557.0421,1.909873,50,49.7,50.1,804,0,66592,1988,292700,1102,28.7000007629395,10248,138
8121,4868,2523.955,2518.084,5.871611,41.6,39.4,44.3,230,12,50094,1958,151300,734,23.2000007629395,2087,106
8123,305345,4016.745,3984.929,31.8163,34.4,34.1,34.9,17419,575,74150,1994,299000,1085,29.5,104671,3642
8125,10003,2368.698,2364.398,4.299119,37.8,35.9,41.6,333,13,52022,1962,191800,823,24.3999996185303,4028,177
